Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-05-23,413.10711435909917,419.7527313179176,410.35905894108333,412.8736267089844,3707581,0.0,0.0
2012-05-24,416.0167972341955,422.0876729827535,409.9818350702124,419.7347412109375,3454017,0.0,0.0
2012-05-25,417.41773737018053,428.3022165038256,416.0885895293834,426.7575378417969,2922234,0.0,0.0
2012-05-28,426.11099422286725,434.6245859670283,425.3386548033202,432.7206726074219,4012173,0.0,0.0
2012-05-29,435.4509024610417,437.4805138678371,430.56546964694024,431.8406982421875,2939562,0.0,0.0
2012-05-30,428.3023047872879,430.1343418113049,423.2372554465521,426.6139221191406,2751655,0.0,0.0
2012-05-31,422.19548071986054,428.91299938392086,417.05860401449274,421.2256164550781,3397911,0.0,0.0
2012-06-01,418.6750771515725,420.9202190166284,405.9406024992102,407.6828308105469,3349428,0.0,0.0
2012-06-04,400.9653946988346,423.52462994867506,397.319277303593,421.54888916015625,5481600,0.0,0.0
2012-06-05,423.88381310546526,436.7979045134294,418.9265049402315,435.0736083984375,7028545,0.0,0.0
2012-06-06,437.3546981569729,456.93238926004113,435.9178092807302,455.190185546875,7566138,0.0,0.0
2012-06-07,458.09991581564657,463.6319409258626,450.5562362413779,458.0101318359375,5720737,0.0,0.0
2012-06-08,459.75233813422665,474.17519724565636,453.50184382577737,470.3853759765625,5932631,0.0,0.0
2012-06-11,474.1751947684591,478.4499481719341,458.06400225886233,460.97369384765625,5815503,0.0,0.0
2012-06-12,457.65079891340645,474.78577176777475,455.9624658028094,472.6124572753906,5188783,0.0,0.0
2012-06-13,472.3789934737258,492.71101632217665,467.4396421055252,484.9158935546875,9055959,0.0,0.0
2012-06-14,481.71884671091044,484.71837143921834,462.9494081642353,465.8771057128906,6869812,0.0,0.0
2012-06-15,467.3499619331069,479.54558699207394,462.3746958739845,475.52227783203125,10299271,0.0,0.0
2012-06-18,478.84496154638754,488.09497811857045,465.5536803875074,474.1571044921875,7539880,0.0,0.0
2012-06-19,471.22948046329486,481.3236650953997,468.4275300056895,477.8751220703125,6246220,0.0,0.0
2012-06-20,479.7430359130838,485.67025732471774,478.4678076692991,482.347412109375,4667064,0.0,0.0
2012-06-21,479.8866502111159,495.29732434764855,479.4196750348082,493.15997314453125,5802727,0.0,0.0
2012-06-22,484.95188817814153,492.4955677725158,482.1140237657742,489.2445983886719,4618579,0.0,0.0
2012-06-25,488.63385377212614,496.71638415737306,485.3110576501249,486.90960693359375,3390329,0.0,0.0
2012-06-26,487.2508334904504,491.48967272818953,480.8027660003555,484.4488830566406,3446338,0.0,0.0
2012-06-27,488.7057650497905,490.3402280367127,482.79649958584446,484.07177734375,3260709,0.0,0.0
2012-06-28,486.1193214623164,489.0828831146868,480.3537599715302,482.56298828125,4081792,0.0,0.0
2012-06-29,488.1848354600284,503.2722419623459,487.48437251456306,502.1227111816406,5414791,0.0,0.0
2012-07-02,503.1823128484238,508.28327455224,499.7517272849855,502.7512512207031,3378390,0.0,0.0
2012-07-03,505.1581800976832,509.93587144788836,501.8353837716422,504.33197021484375,2687593,0.0,0.0
2012-07-04,506.0742148353563,511.10330122714987,501.83537539198676,509.6664123535156,3753058,0.0,0.0
2012-07-05,508.3013011180673,515.3959601343188,505.78670907943854,513.1328125,3198705,0.0,0.0
2012-07-06,510.56451323953695,512.5402539963692,502.1945748812676,504.70916748046875,2555246,0.0,0.0
2012-07-09,501.5479562933298,503.4698265659436,495.7285244254491,498.88970947265625,2607086,0.0,0.0
